Player,Team,Pos,Injury,Status,Est. Return
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Jamarco Jones,TEN,OT,Elbow,IR,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,PIT,S,Ankle,IR,Subscribers Only
Kerby Joseph,DET,S,Concussion,Questionable,Subscribers Only
Michael Joseph,FA,CB,Undisclosed,Questionable,Subscribers Only
Matt Kaskey,FA,OT,Foot,Questionable,Subscribers Only
Joshua Kelley,LAC,RB,Knee - MCL,IR,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Javon Kinlaw,SF,DT,Knee,IR,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Micah Kiser,LV,LB,Leg,IR,Subscribers Only
J.J. Koski,LAR,WR,Shoulder,IR,Subscribers Only
Tanoh Kpassagnon,NO,DE,Illness,Questionable,Subscribers Only
Tommy Kraemer,DET,OG,Back,IR,Subscribers Only
Doug Kramer,CHI,C,Lower Leg,IR,Subscribers Only
Bruno Labelle,FA,TE,Undisclosed,Questionable,Subscribers Only
Dayan Lake,FA,CB,Undisclosed,Questionable,Subscribers Only
Quentin Lake,LAR,S,Knee,PUP-R,Subscribers Only
Forrest Lamp,FA,OG,Undisclosed,Questionable,Subscribers Only
Tyler Lancaster,FA,DE,Undisclosed,Questionable,Subscribers Only
Trey Lance,SF,QB,Ankle,IR,Subscribers Only
Nate Landman,ATL,LB,Coach's Decision,Inactive,Subscribers Only
Harold Landry,TEN,LB,Knee - ACL,IR,Subscribers Only
Ted Larsen,FA,OG,Knee,Questionable,Subscribers Only
Tyler Larsen,WAS,C,Back,Questionable,Subscribers Only
Cody Latimer,FA,WR,Personal,Reserve-CEL,Subscribers Only
Marshon Lattimore,NO,CB,Abdomen,Out,Subscribers Only
Nolan Laufenberg,FA,OG,Undisclosed,Out,Subscribers Only
Rashard Lawrence,ARI,DT,Shoulder,IR,Subscribers Only
DeMarvin Leal,PIT,DE,Knee,IR,Subscribers Only
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable,Subscribers Only
Darron Lee,FA,LB,Undisclosed,Questionable,Subscribers Only
Shane Lemieux,NYG,OG,Foot,IR-R,Subscribers Only
Lance Lenoir,FA,WR,Undisclosed,Questionable,Subscribers Only
Shaquille Leonard,IND,LB,Back,IR,Subscribers Only
Taylor Lewan,TEN,OT,Knee,IR,Subscribers Only
Donnie Lewis,FA,CB,Undisclosed,Questionable,Subscribers Only
Jourdan Lewis,DAL,CB,Foot,IR,Subscribers Only
Tommylee Lewis,FA,WR,Hip,Questionable,Subscribers Only
Tyquan Lewis,IND,DE,Knee,IR,Subscribers Only
Zane Lewis,FA,S,Undisclosed,Questionable,Subscribers Only
Damon Lloyd,LAC,LB,Undisclosed,IR,Subscribers Only
Greg Long,FA,OT,Undisclosed,Questionable,Subscribers Only
Hunter Long,MIA,TE,Concussion,Out,Subscribers Only
Bryce Love,FA,RB,Knee,Questionable,Subscribers Only
John Lovett,MIA,FB,Undisclosed,IR,Subscribers Only
Chase Lucas,DET,CB,Ankle,Questionable,Subscribers Only
Jordan Lucas,FA,S,Knee,Questionable,Subscribers Only
Alize Mack,FA,TE,Undisclosed,Questionable,Subscribers Only
Ledarius Mack,FA,LB,Undisclosed,Questionable,Subscribers Only
Avonte Maddox,PHI,CB,Hamstring,Questionable,Subscribers Only
Cole Madison,FA,OG,Knee - ACL,Questionable,Subscribers Only
Kyle Markway,FA,TE,Undisclosed,Questionable,Subscribers Only
Cassius Marsh,FA,LB,Knee,Questionable,Subscribers Only
Justin Martin,FA,CB,Knee,Questionable,Subscribers Only
Kamal Martin,FA,LB,Undisclosed,Questionable,Subscribers Only
Marcus Martin,FA,C,Undisclosed,Questionable,Subscribers Only
Bobby Massie,FA,OT,Concussion,Questionable,Subscribers Only
Phidarian Mathis,WAS,DT,Knee - Meniscus,IR,Subscribers Only
Christian Matthew,ARI,CB,Hamstring,Questionable,Subscribers Only
Jordan Matthews,SF,TE,Knee - ACL,IR,Subscribers Only
Marcus Maye,NO,S,Abdomen,Questionable,Subscribers Only
Jalen Mayfield,ATL,OG,Back,IR,Subscribers Only
David Mayo,WAS,LB,Hamstring,Out,Subscribers Only
Cole Mazza,FA,C,Shoulder,Questionable,Subscribers Only
Tyreik McAllister,FA,RB,Hamstring,Questionable,Subscribers Only
