p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,week,year,plyr_number
jonahjackson_det_2022_10,det_2022_10,jonahjackson_det_2022,det_2022,jonahjackson,37070,g,det,1,0,11,54.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
evanbrown_det_2022_10,det_2022_10,evanbrown_det_2022,det_2022,evanbrown,38709,g,det,1,0,11,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
frankragnow_det_2022_10,det_2022_10,frankragnow_det_2022,det_2022,frankragnow,39137,ol,det,1,0,11,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
peneisewell_det_2022_10,det_2022_10,peneisewell_det_2022,det_2022,peneisewell,81788,t,det,1,0,11,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
taylordecker_det_2022_10,det_2022_10,taylordecker_det_2022,det_2022,taylordecker,10650,t,det,1,0,11,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
isaiahwynn_ne_2022_10,ne_2022_10,isaiahwynn_ne_2022,ne_2022,isaiahwynn,46048,t,ne,1,0,19,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
davidbakhtiari_gb_2022_10,gb_2022_10,davidbakhtiari_gb_2022,gb_2022,davidbakhtiari,7891,t,gb,1,0,12,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
ronniestanley_bal_2022_10,bal_2022_10,ronniestanley_bal_2022,bal_2022,ronniestanley,10640,t,bal,1,0,3,89.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
jakematthews_atl_2022_10,atl_2022_10,jakematthews_atl_2022,atl_2022,jakematthews,8641,t,atl,1,0,2,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kalebmcgary_atl_2022_10,atl_2022_10,kalebmcgary_atl_2022,atl_2022,kalebmcgary,46912,t,atl,1,0,2,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
drewdalman_atl_2022_10,atl_2022_10,drewdalman_atl_2022,atl_2022,drewdalman,52270,ol,atl,1,0,2,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
kevinzeitler_bal_2022_10,bal_2022_10,kevinzeitler_bal_2022,bal_2022,kevinzeitler,7032,g,bal,1,0,3,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
chrislindstrom_atl_2022_10,atl_2022_10,chrislindstrom_atl_2022,atl_2022,chrislindstrom,46692,g,atl,1,0,2,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
tylerlinderbaum_bal_2022_10,bal_2022_10,tylerlinderbaum_bal_2022,bal_2022,tylerlinderbaum,82291,ol,bal,1,0,3,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
benpowers_bal_2022_10,bal_2022_10,benpowers_bal_2022,bal_2022,benpowers,41482,g,bal,1,0,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
morganmoses_bal_2022_10,bal_2022_10,morganmoses_bal_2022,bal_2022,morganmoses,8701,t,bal,1,0,3,78.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
calvinthrockmorton_no_2022_10,no_2022_10,calvinthrockmorton_no_2022,no_2022,calvinthrockmorton,28238,g,no,1,0,20,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
natedavis_ten_2022_10,ten_2022_10,natedavis_ten_2022,ten_2022,natedavis,46808,g,ten,1,0,31,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
aaronbrewer_ten_2022_10,ten_2022_10,aaronbrewer_ten_2022,ten_2022,aaronbrewer,46014,g,ten,1,0,31,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
dennisdaley_ten_2022_10,ten_2022_10,dennisdaley_ten_2022,ten_2022,dennisdaley,60063,t,ten,1,0,31,51.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
benjones_ten_2022_10,ten_2022_10,benjones_ten_2022,ten_2022,benjones,7099,ol,ten,1,0,31,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
nicholaspetitfrere_ten_2022_10,ten_2022_10,nicholaspetitfrere_ten_2022,ten_2022,nicholaspetitfrere,82003,t,ten,1,0,31,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2022,10
