p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
darrickforrest_was_2022_15,was_2022_15,darrickforrest_was_2022,was_2022,darrickforrest,55087,s,was,1,1,,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
andrechachere_phi_2022_15,phi_2022_15,andrechachere_phi_2022,phi_2022,andrechachere,51194,s,phi,1,4,,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
bobbyokereke_ind_2022_15,ind_2022_15,bobbyokereke_ind_2022,ind_2022,bobbyokereke,50954,lb,ind,1,3,,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
isaiaholiver_atl_2022_15,atl_2022_15,isaiaholiver_atl_2022,atl_2022,isaiaholiver,50393,cb,atl,1,9,,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
rockyasin_lv_2022_15,lv_2022_15,rockyasin_lv_2022,lv_2022,rockyasin,49564,cb,lv,1,1,,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
carltondavis_tb_2022_15,tb_2022_15,carltondavis_tb_2022,tb_2022,carltondavis,49335,cb,tb,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
jacksanborn_chi_2022_15,chi_2022_15,jacksanborn_chi_2022,chi_2022,jacksanborn,82566,lb,chi,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
julianblackmon_ind_2022_15,ind_2022_15,julianblackmon_ind_2022,ind_2022,julianblackmon,49434,s,ind,1,25,25.0,12.5,0,0,0,0,0,0,0,0,0,15,2022,15
trevonmoehrig_lv_2022_15,lv_2022_15,trevonmoehrig_lv_2022,lv_2022,trevonmoehrig,77847,s,lv,1,20,20.0,10.0,0,0,0,0,0,0,0,0,0,15,2022,15
keiseannixon_gb_2022_15,gb_2022_15,keiseannixon_gb_2022,gb_2022,keiseannixon,56167,cb,gb,1,18,18.0,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
essangbassey_den_2022_15,den_2022_15,essangbassey_den_2022,den_2022,essangbassey,45258,cb,den,1,29,14.5,7.3,0,0,0,0,0,0,0,0,0,15,2022,15
willharris_det_2022_15,det_2022_15,willharris_det_2022,det_2022,willharris,51336,cb,det,1,30,10.0,4.3,0,0,0,0,0,0,0,0,0,15,2022,15
harrisonsmith_min_2022_15,min_2022_15,harrisonsmith_min_2022,min_2022,harrisonsmith,7641,s,min,1,10,10.0,10.0,0,0,0,0,0,0,0,0,0,15,2022,15
rayshawnjenkins_jax_2022_15,jax_2022_15,rayshawnjenkins_jax_2022,jax_2022,rayshawnjenkins,11868,s,jax,1,10,10.0,5.0,0,0,0,0,0,0,0,0,0,15,2022,15
