p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception,week,year,plyr_number
bobbyokereke_ind_2022_15,ind_2022_15,bobbyokereke_ind_2022,ind_2022,bobbyokereke,50954,lb,ind,1,1,2.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
andrechachere_phi_2022_15,phi_2022_15,andrechachere_phi_2022,phi_2022,andrechachere,51194,s,phi,1,0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
willharris_det_2022_15,det_2022_15,willharris_det_2022,det_2022,willharris,51336,cb,det,1,1,5.6,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
derwinjames_lac_2022_15,lac_2022_15,derwinjames_lac_2022,lac_2022,derwinjames,51368,s,lac,1,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
jaylinnhawkins_atl_2022_15,atl_2022_15,jaylinnhawkins_atl_2022,atl_2022,jaylinnhawkins,51423,s,atl,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
kadenelliss_no_2022_15,no_2022_15,kadenelliss_no_2022,no_2022,kadenelliss,51485,lb,no,1,3,8.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
nicholasmorrow_chi_2022_15,chi_2022_15,nicholasmorrow_chi_2022,chi_2022,nicholasmorrow,51674,lb,chi,1,0,5.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
paulsonadebo_no_2022_15,no_2022_15,paulsonadebo_no_2022,no_2022,paulsonadebo,52280,cb,no,1,0,6.8,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
darrickforrest_was_2022_15,was_2022_15,darrickforrest_was_2022,was_2022,darrickforrest,55087,s,was,1,0,16.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
harrisonhand_chi_2022_15,chi_2022_15,harrisonhand_chi_2022,chi_2022,harrisonhand,55576,cb,chi,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,15
