,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
1216,pass_depth_medium_touchdowns_passdepth_dog,1.778076493,1.779561713,0.080922081,0.005669891,99809.57179
2100,rec_depth_behind_los_drop_rate_rec_depth_dog,1.725943383,1.7787513,0.080316168,0.006106559,98084.10152
2974,rec_depth_short_pass_plays_rec_depth_dog,-1.680205433,1.776464187,0.080757368,0.006342478,99448.92926
1027,pass_concept_screen_big_time_throws_pass_conc_fav,1.756332805,1.775293323,0.080340394,0.005860704,99776.23246
1296,pass_rush_snap_counts_pass_play_pass_rush_summ_dog,1.770732371,1.773765461,0.080960595,0.006056356,100757.9222
971,pass_concept_no_screen_first_downs_pass_conc_fav,-1.762863029,1.772803444,0.08044135,0.005951331,99726.06499
2715,rec_depth_medium_yprr_rec_depth_fav,-1.766309959,1.768912109,0.080595985,0.005876294,99208.86024
3186,rec_summary_wide_rate_rec_dog,-1.766061279,1.766143949,0.080456375,0.005968035,99744.98191
28,bench_lbs_bio_dog,-1.76209063,1.76209063,0.080763719,0.005974595,100997.7496
208,def_coverage_scheme_zone_snap_counts_pass_play_def_cov_schem_dog,1.744768829,1.751703321,0.080396228,0.006047666,99138.23492
1192,pass_depth_medium_btt_rate_passdepth_dog,-1.75112348,1.75112348,0.079980285,0.005858499,100787.4621
565,def_summary_snap_counts_dl_b_gap_def_cov_fav,-1.74870502,1.74870502,0.079931685,0.005447559,99798.26194
2690,rec_depth_medium_pass_plays_rec_depth_dog,1.679791967,1.74671386,0.079837054,0.005874254,99958.66852
204,def_coverage_scheme_zone_snap_counts_coverage_def_cov_schem_dog,1.730730963,1.744989631,0.080490627,0.006116736,99284.19938
471,def_summary_missed_tackle_rate_def_stats_fav,-1.734342434,1.735661869,0.08014344,0.005805419,100723.1131
1767,pass_under_pressure_no_pressure_hit_as_threw_pass_pressure_dog,-1.733904683,1.733904683,0.080265254,0.005611988,98490.57625
3282,run_defense_missed_tackles_run_def_summ_fav,-1.728320728,1.729007536,0.081236379,0.005936242,99704.57532
3114,rec_scheme_zone_yards_per_reception_rec_schem_dog,1.7258122,1.727250228,0.080194191,0.005730337,100114.4393
1934,punting_downeds_dog,1.725645714,1.725645714,0.080630331,0.005737802,100372.994
1174,pass_depth_deep_yards_passdepth_dog,1.723915982,1.724405141,0.079405251,0.005859735,99129.76236
2774,rec_depth_right_deepavg_depth_of_target_rec_depth_fav,1.713857562,1.724292977,0.080426886,0.005789964,99523.90938
1059,pass_concept_screen_hit_as_threw_pass_conc_fav,-1.719849016,1.719849016,0.080577245,0.005648192,101213.4028
440,def_summary_hits_passrush_dog,1.717771811,1.717771811,0.079930599,0.005773707,98815.51455
325,def_slot_coverage_interceptions_slot_cov_fav,1.71765899,1.71765899,0.080270465,0.005809664,100598.9236
2093,rec_depth_behind_los_caught_percent_rec_depth_fav,-1.712092776,1.715019467,0.080286958,0.005662832,99417.63944
3449,tackling_tgs_fav,1.711149465,1.714550562,0.080544797,0.005947558,101576.7489
2418,rec_depth_deep_targets_percent_rec_depth_fav,1.711410982,1.713496319,0.08054158,0.005722413,99884.91389
2976,rec_depth_short_receptions_rec_depth_dog,-1.627581753,1.708004679,0.080568011,0.006149788,99437.85225
1995,rec_concept_screen_interceptions_rec_concept_fav,-1.706940773,1.706940773,0.080787212,0.00585956,99774.13736
2047,rec_concept_slot_fumbles_rec_concept_fav,-1.701997805,1.70201018,0.080654288,0.005807401,100317.0024
2772,rec_depth_right_deep_grades_pass_route_rec_depth_fav,1.668021881,1.700279625,0.080654515,0.005999804,100323.3879
852,off_dvoa_dog,1.696865461,1.699761062,0.08015396,0.005611487,99006.67748
275,def_coverage_summary_qb_rating_against_def_cov_summ_fav,-1.690283707,1.696554604,0.080301034,0.0056382,101399.9535
2376,rec_depth_deep_avg_depth_of_target_rec_depth_fav,-1.693922942,1.69603908,0.079805891,0.005584175,101511.5074
972,pass_concept_no_screen_grades_defense_pass_conc_fav,1.69426223,1.69426223,0.080598875,0.00557812,100068.7947
877,overall_performance_tgs_fav,1.68241993,1.691864829,0.080569388,0.005804647,99200.76523
487,def_summary_pass_break_ups_def_stats_fav,1.690476602,1.691174766,0.080382939,0.005736322,98939.20475
2223,rec_depth_center_deep_grades_pass_route_rec_depth_dog,1.678922356,1.69088238,0.080074537,0.005693615,100366.5306
1837,pass_under_pressure_pressure_grades_pass_route_pass_pressure_dog,1.688856007,1.688882509,0.079662196,0.005471601,99151.70175
