p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,week,year,plyr_number
chrislindstrom_atl_2022_14,atl_2022_14,chrislindstrom_atl_2022,atl_2022,chrislindstrom,46692,g,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
conormcdermott_ne_2022_14,ne_2022_14,conormcdermott_ne_2022,ne_2022,conormcdermott,11966,t,ne,1,100.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
jakematthews_atl_2022_14,atl_2022_14,jakematthews_atl_2022,atl_2022,jakematthews,8641,t,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
trentbrown_ne_2022_14,ne_2022_14,trentbrown_ne_2022,ne_2022,trentbrown,9677,t,ne,1,100.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
drewdalman_atl_2022_14,atl_2022_14,drewdalman_atl_2022,atl_2022,drewdalman,52270,ol,atl,1,100.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
cameronfleming_den_2022_14,den_2022_14,cameronfleming_den_2022,den_2022,cameronfleming,8775,t,den,1,100.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
calvinanderson_den_2022_14,den_2022_14,calvinanderson_den_2022,den_2022,calvinanderson,46247,t,den,1,100.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
grahamglasgow_den_2022_14,den_2022_14,grahamglasgow_den_2022,den_2022,grahamglasgow,10729,g,den,1,100.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
quinnmeinerz_den_2022_14,den_2022_14,quinnmeinerz_den_2022,den_2022,quinnmeinerz,112915,g,den,1,100.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
daltonrisner_den_2022_14,den_2022_14,daltonrisner_den_2022,den_2022,daltonrisner,47008,g,den,1,100.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
sammustipher_chi_2022_14,chi_2022_14,sammustipher_chi_2022,chi_2022,sammustipher,13026,ol,chi,1,100.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
brandonscherff_jax_2022_14,jax_2022_14,brandonscherff_jax_2022,jax_2022,brandonscherff,9438,g,jax,1,100.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
codywhitehair_chi_2022_14,chi_2022_14,codywhitehair_chi_2022,chi_2022,codywhitehair,10690,g,chi,1,100.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
braxtonjones_chi_2022_14,chi_2022_14,braxtonjones_chi_2022,chi_2022,braxtonjones,60092,t,chi,1,100.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tylershatley_jax_2022_14,jax_2022_14,tylershatley_jax_2022,jax_2022,tylershatley,9257,g,jax,1,100.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
tevenjenkins_chi_2022_14,chi_2022_14,tevenjenkins_chi_2022,chi_2022,tevenjenkins,41534,g,chi,1,100.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
camrobinson_jax_2022_14,jax_2022_14,camrobinson_jax_2022,jax_2022,camrobinson,11789,t,jax,1,100.0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
wesschweitzer_was_2022_14,was_2022_14,wesschweitzer_was_2022,was_2022,wesschweitzer,10829,ol,was,1,100.0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
denniskelly_ind_2022_14,ind_2022_14,denniskelly_ind_2022,ind_2022,denniskelly,7146,t,ind,1,100.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
brandonshell_mia_2022_14,mia_2022_14,brandonshell_mia_2022,mia_2022,brandonshell,10792,t,mia,1,100.0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
roberthunt_mia_2022_14,mia_2022_14,roberthunt_mia_2022,mia_2022,roberthunt,46139,g,mia,1,100.0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,14
