p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
terronarmstead_mia_2022_11,mia_2022_11,terronarmstead_mia_2022,mia_2022,terronarmstead,7856,t,mia,1,0,17,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
koltonmiller_lv_2022_11,lv_2022_11,koltonmiller_lv_2022,lv_2022,koltonmiller,47013,t,lv,1,0,23,79.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
dylanparham_lv_2022_11,lv_2022_11,dylanparham_lv_2022,lv_2022,dylanparham,60953,g,lv,1,0,23,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
billyprice_ari_2022_11,ari_2022_11,billyprice_ari_2022,ari_2022,billyprice,46795,ol,ari,1,0,1,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
corneliuslucas_was_2022_11,was_2022_11,corneliuslucas_was_2022,was_2022,corneliuslucas,9025,t,was,1,0,32,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
treymcbride_ari_2022_11,ari_2022_11,treymcbride_ari_2022,ari_2022,treymcbride,75916,te,ari,1,0,1,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
lecitussmith_ari_2022_11,ari_2022_11,lecitussmith_ari_2022,ari_2022,lecitussmith,61069,g,ari,1,0,1,55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
roberttonyan_gb_2022_11,gb_2022_11,roberttonyan_gb_2022,gb_2022,roberttonyan,12193,te,gb,1,0,12,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
joshjones_ari_2022_11,ari_2022_11,joshjones_ari_2022,ari_2022,joshjones,26634,t,ari,1,0,1,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jermaineeluemunor_lv_2022_11,lv_2022_11,jermaineeluemunor_lv_2022,lv_2022,jermaineeluemunor,11914,t,lv,1,0,23,85.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
andrejames_lv_2022_11,lv_2022_11,andrejames_lv_2022,lv_2022,andrejames,47058,ol,lv,1,0,23,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
alexbars_lv_2022_11,lv_2022_11,alexbars_lv_2022,lv_2022,alexbars,47018,g,lv,1,0,23,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
