p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
christianmccaffrey_sf_2022_11,sf_2022_11,christianmccaffrey_sf_2022,sf_2022,christianmccaffrey,11763,hb,sf,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
antoniogibson_was_2022_11,was_2022_11,antoniogibson_was_2022,was_2022,antoniogibson,78050,hb,was,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
leonardfournette_tb_2022_11,tb_2022_11,leonardfournette_tb_2022,tb_2022,leonardfournette,11759,hb,tb,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
devinsingletary_buf_2022_11,buf_2022_11,devinsingletary_buf_2022,buf_2022,devinsingletary,40485,hb,buf,1,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
justinfields_chi_2022_11,chi_2022_11,justinfields_chi_2022,chi_2022,justinfields,82118,qb,chi,1,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ajdillon_gb_2022_11,gb_2022_11,ajdillon_gb_2022,gb_2022,ajdillon,57165,hb,gb,1,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
milessanders_phi_2022_11,phi_2022_11,milessanders_phi_2022,phi_2022,milessanders,40555,hb,phi,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
nickchubb_cle_2022_11,cle_2022_11,nickchubb_cle_2022,cle_2022,nickchubb,45783,hb,cle,1,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
travisetienne_jax_2022_11,jax_2022_11,travisetienne_jax_2022,jax_2022,travisetienne,57185,hb,jax,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kennethwalkeriii_sea_2022_11,sea_2022_11,kennethwalkeriii_sea_2022,sea_2022,kennethwalkeriii,97199,hb,sea,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
