unique_id,player_id,value,player_name,match_name,score
danielekuale_cle_2019_15,danielekuale_cle_2019,1,danielekuale_cle_2019,danielekuale_cle_2019,100.0
willieharvey_cle_2019_15,willieharvey_cle_2019,1,willieharvey_cle_2019,willieharvey_cle_2019,100.0
robertjackson_cle_2019_15,robertjackson_cle_2019,1,robertjackson_cle_2019,robertjackson_cle_2019,100.0
christiankirksey_cle_2019_15,christiankirksey_cle_2019,1,christiankirksey_cle_2019,christiankirksey_cle_2019,100.0
ericmurray_cle_2019_15,ericmurray_cle_2019,1,ericmurray_cle_2019,ericmurray_cle_2019,100.0
oliviervernon_cle_2019_15,oliviervernon_cle_2019,1,oliviervernon_cle_2019,oliviervernon_cle_2019,100.0
odellbeckhamjr_cle_2020_15,odellbeckhamjr_cle_2020,1,odellbeckhamjr_cle_2020,odellbeckhamjr_cle_2020,100.0
ronnieharrison_cle_2020_15,ronnieharrison_cle_2020,1,ronnieharrison_cle_2020,ronnieharrison_cle_2020,100.0
jojonatson_cle_2020_15,jojonatson_cle_2020,1,jojonatson_cle_2020,jojonatson_cle_2020,100.0
andrewsendejo_cle_2020_15,andrewsendejo_cle_2020,1,andrewsendejo_cle_2020,andrewsendejo_cle_2020,100.0
taywantaylor_cle_2020_15,taywantaylor_cle_2020,1,taywantaylor_cle_2020,taywantaylor_cle_2020,100.0
wyattteller_cle_2020_15,wyattteller_cle_2020,1,wyattteller_cle_2020,wyattteller_cle_2020,100.0
jackconklin_cle_2021_15,jackconklin_cle_2021,1,jackconklin_cle_2021,jackconklin_cle_2021,100.0
chrishubbard_cle_2021_15,chrishubbard_cle_2021,1,chrishubbard_cle_2021,chrishubbard_cle_2021,100.0
kareemhunt_cle_2021_15,kareemhunt_cle_2021,1,kareemhunt_cle_2021,kareemhunt_cle_2021,100.0
gregnewsomeii_cle_2021_15,gregnewsomeii_cle_2021,1,gregnewsomeii_cle_2021,gregnewsomeii_cle_2021,100.0
morrisclaiborne_dal_2014_15,morrisclaiborne_dal_2014,1,morrisclaiborne_dal_2014,morrisclaiborne_dal_2014,100.0
jackcrawford_dal_2014_15,jackcrawford_dal_2014,1,jackcrawford_dal_2014,jackcrawford_dal_2014,100.0
justindurant_dal_2014_15,justindurant_dal_2014,1,justindurant_dal_2014,justindurant_dal_2014,100.0
dekodawatson_dal_2014_15,dekodawatson_dal_2014,1,dekodawatson_dal_2014,dekodawatson_dal_2014,100.0
morrisclaiborne_dal_2015_15,morrisclaiborne_dal_2015,1,morrisclaiborne_dal_2015,morrisclaiborne_dal_2015,100.0
lancedunbar_dal_2015_15,lancedunbar_dal_2015,1,lancedunbar_dal_2015,lancedunbar_dal_2015,100.0
rolandomcclain_dal_2015_15,rolandomcclain_dal_2015,1,rolandomcclain_dal_2015,rolandomcclain_dal_2015,100.0
terrellmcclain_dal_2015_15,terrellmcclain_dal_2015,1,terrellmcclain_dal_2015,terrellmcclain_dal_2015,100.0
tonyromo_dal_2015_15,tonyromo_dal_2015,1,tonyromo_dal_2015,tonyromo_dal_2015,100.0
ryanrussell_dal_2015_15,ryanrussell_dal_2015,1,ryanrussell_dal_2015,ryanrussell_dal_2015,100.0
laelcollins_dal_2016_15,laelcollins_dal_2016,1,laelcollins_dal_2016,laelcollins_dal_2016,100.0
chazgreen_dal_2016_15,chazgreen_dal_2016,1,chazgreen_dal_2016,chazgreen_dal_2016,100.0
jameshanna_dal_2016_15,jameshanna_dal_2016,1,jameshanna_dal_2016,jameshanna_dal_2016,100.0
demarcuslawrence_dal_2016_15,demarcuslawrence_dal_2016,1,demarcuslawrence_dal_2016,demarcuslawrence_dal_2016,100.0
kellenmoore_dal_2016_15,kellenmoore_dal_2016,1,kellenmoore_dal_2016,kellenmoore_dal_2016,100.0
geoffswaim_dal_2016_15,geoffswaim_dal_2016,1,geoffswaim_dal_2016,geoffswaim_dal_2016,100.0
cedricthornton_dal_2016_15,cedricthornton_dal_2016,1,cedricthornton_dal_2016,cedricthornton_dal_2016,100.0
bricebutler_dal_2017_15,bricebutler_dal_2017,1,bricebutler_dal_2017,bricebutler_dal_2017,100.0
justindurant_dal_2017_15,justindurant_dal_2017,1,justindurant_dal_2017,justindurant_dal_2017,100.0
davidirving_dal_2017_15,davidirving_dal_2017,1,davidirving_dal_2017,davidirving_dal_2017,100.0
brianprice_dal_2017_15,brianprice_dal_2017,1,brianprice_dal_2017,brianprice_dal_2017,100.0
orlandoscandrick_dal_2017_15,orlandoscandrick_dal_2017,1,orlandoscandrick_dal_2017,orlandoscandrick_dal_2017,100.0
charlestapper_dal_2017_15,charlestapper_dal_2017,1,charlestapper_dal_2017,charlestapper_dal_2017,100.0
tavonaustin_dal_2018_15,tavonaustin_dal_2018,1,tavonaustin_dal_2018,tavonaustin_dal_2018,100.0
travisfrederick_dal_2018_15,travisfrederick_dal_2018,1,travisfrederick_dal_2018,travisfrederick_dal_2018,100.0
cjgoodwin_dal_2018_15,cjgoodwin_dal_2018,1,cjgoodwin_dal_2018,cjgoodwin_dal_2018,100.0
davidirving_dal_2018_15,davidirving_dal_2018,1,davidirving_dal_2018,davidirving_dal_2018,100.0
datonejones_dal_2018_15,datonejones_dal_2018,1,datonejones_dal_2018,datonejones_dal_2018,100.0
zackmartin_dal_2018_15,zackmartin_dal_2018,1,zackmartin_dal_2018,zackmartin_dal_2018,100.0
geoffswaim_dal_2018_15,geoffswaim_dal_2018,1,geoffswaim_dal_2018,geoffswaim_dal_2018,100.0
